PLANT_LOCATION_ID,PLANT_CODE,PLANT_CITY,PLANT_STATE_NAME,PLANT_STATE,PLANT_LONGITUDE,PLANT_LATITUDE
12,PLANT01,Pottsville,Pennsylvania,PA,-76.18234400,40.69089400
13,PLANT02,Raymond,New Hampshire,NH,-71.16612860,43.02741280
14,PLANT03,Fort Pierce,Florida,FL,-80.38279640,27.41189420
15,PLANT04,Henderson,North Carolina,NC,-78.39128113,36.28921127
16,PLANT05,Smyrna,Delaware,DE,-75.62664600,39.28886840
17,PLANT06,Williamsport,Maryland,MD,-77.80791600,39.61928600
18,PLANT07,Bethlehem,Pennsylvania,PA,-75.32271890,40.61125450
19,PLANT08,Arcadia,Florida,FL,-81.85193900,27.23960900
20,PLANT09,Mebane,North Carolina,NC,-79.26262100,36.10256300
21,PLANT10,Pedricktown,New Jersey,NJ,-75.40841200,39.73376900
22,PLANT11,Winter Haven,Florida,FL,-81.75560180,28.04628270
23,PLANT12,Davenport,Florida,FL,-81.74889000,27.99513400
24,PLANT13,Brooksville,Florida,FL,-82.22007940,28.51867670
25,PLANT14,Harrison,New Jersey,NJ,-74.16178300,40.74217700
26,PLANT15,Ridgeville,South Carolina,SC,-80.31195100,33.10268300
27,PLANT16,Mira Loma,California,CA,-117.55815200,34.01242700
28,PLANT17,Port Wentworth,Georgia,GA,-81.16316800,32.14909200
29,PLANT18,Johnsontown,New York,NY,-74.40675410,42.98688810
30,PLANT19,Alachua,Florida,FL,-82.46855800,29.76091100
